RowID,MobID,MobName,Level,Exp,AI,Money1,Money2,QuestItemID,HP,SP,MP,Dex,Wis,Luc,Day,Size,Attrib,Defense,Magic,ResistState1,ResistState2,ResistState3,ResistState4,ResistState5,ResistState6,ResistState7,ResistState8,ResistState9,ResistState10,ResistState11,ResistState12,ResistState13,ResistState14,ResistState15,ResistSkill1,ResistSkill2,ResistSkill3,ResistSkill4,ResistSkill5,ResistSkill6,NormalTime,NormalStep,ChaseTime,ChaseStep,ChaseRange,AttackType1,AttackTime1,Attackrange1,Attack1,Attackplus1,Attackattrib1,Attackspecial1,Attackok1,Attacktype2,Attacktime2,Attackrange2,Attack2,Attackplus2,Attackattrib2,Attackspecial2,Attackok2,Attacktype3,Attacktime3,Attackrange3,Attack3,Attackplus3,Attackattrib3,Attackspecial3,Attackok3
11,10,High Pixie Confusion Mage,42,836,1,2180,4578,0,3196,966,1822,66,43,57,2,1,4,41,34,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,6,1800,9,9,0,2500,2,180,90,0,0,1,39,2500,2,153,91,0,0,1,0,0,0,320,0,0,3,0
12,11,Spotted Leopard,42,836,1,2180,4578,0,3196,966,1822,66,43,57,3,2,4,41,34,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,6,1800,9,9,0,2500,2,180,90,0,0,1,48,2500,2,153,91,0,0,1,0,0,0,320,0,0,3,0
13,12,High Pixie Dazzler,43,869,1,2280,4788,0,3307,990,1887,67,44,59,2,1,4,43,34,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,6,1800,9,9,0,2500,2,184,91,0,0,1,39,2500,2,155,93,0,0,1,0,0,0,331,0,0,3,0
14,13,Roughground workerlarva,43,869,1,2280,4788,0,3307,990,1887,67,44,59,4,2,0,43,34,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,6,1800,9,9,0,2500,3,184,91,0,0,1,19,2500,3,155,93,0,0,1,0,0,0,331,0,0,3,0
15,14,Steelmuscle Lander,43,869,1,2280,4788,0,3307,990,1887,67,44,59,3,3,3,43,34,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4000,6,1800,9,9,0,2500,4,184,91,0,0,1,29,2500,4,155,93,0,0,1,24,0,0,331,0,0,3,3
16,15,Redblood Archane Spider,43,869,1,2280,4788,0,3307,990,1887,67,44,59,3,1,0,43,34,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,6,1800,9,9,0,2500,1,184,91,0,0,1,19,2500,1,155,93,0,0,1,0,0,0,331,0,0,3,0
17,16,Spotted Vagabond Leopard,43,869,1,2280,4788,0,3307,990,1887,67,44,59,3,2,4,43,34,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,6,1800,9,9,0,2500,2,184,91,0,0,1,48,2500,2,155,93,0,0,1,0,0,0,331,0,0,3,0
18,17,Spotted man-eating Leopard,43,869,1,2280,4788,0,3307,990,1887,67,44,59,3,2,4,43,34,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,6,1800,9,9,0,2500,2,184,91,0,0,1,48,2500,2,155,93,0,0,1,0,0,0,331,0,0,3,0
19,18,Thornhair Attackwolf,44,902,1,2380,4998,0,3422,1014,1952,68,44,60,4,2,4,43,35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,6,1800,9,9,0,2500,2,187,93,0,0,1,37,2500,2,159,95,0,0,1,0,0,0,342,0,0,3,0
20,19,Rough Thorn Horn Bison,44,902,0,2380,4998,0,3422,1014,1952,68,44,60,3,2,3,43,35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,6,1800,9,9,0,2500,2,187,93,0,0,1,118,2500,2,159,95,0,0,1,0,0,0,342,0,0,3,0
21,20,Roughground Soldierlarva,44,902,1,2380,4998,0,3422,1014,1952,68,44,60,4,2,0,43,35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,6,1800,9,9,0,2500,3,187,93,0,0,1,19,2500,3,159,95,0,0,1,0,0,0,342,0,0,3,0
22,21,Poison Water Nepenthes,44,902,1,2380,4998,0,3422,1014,1952,68,44,60,1,2,3,43,35,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4000,6,1800,9,9,0,2500,3,187,93,0,0,1,42,2500,3,159,95,0,0,1,0,0,0,342,0,0,3,0
23,22,Redblood Archane,44,902,1,2380,4998,0,3422,1014,1952,68,44,60,2,1,3,43,35,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4000,8,1800,9,9,0,2500,2,187,93,0,0,1,42,2500,2,159,95,0,0,1,0,0,0,342,0,0,3,0
24,23,Redblood Archane Warrior,44,902,1,2380,4998,0,3422,1014,1952,68,44,60,2,1,3,43,35,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4000,8,1800,9,9,0,2500,1,187,93,0,0,1,42,2500,2,159,95,0,0,1,0,0,0,342,0,0,3,0
25,24,Redlight Clan Orc Hunter,45,935,1,2480,5208,0,3537,1038,2018,69,45,61,2,1,1,44,35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,6,1800,9,9,0,2500,26,190,95,0,0,1,51,2500,2,162,97,0,0,1,0,0,0,354,0,0,3,0
26,25,Crazy Blood Wolf,45,935,1,2480,5208,0,3537,1038,2018,69,45,61,4,2,4,44,35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,6,1800,9,9,0,2500,2,190,95,0,0,1,37,2500,2,162,97,0,0,1,0,0,0,354,0,0,3,0
27,26,Redblood Archane fighter,45,935,1,2480,5208,0,3537,1038,2018,69,45,61,2,1,3,44,35,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4000,8,1800,9,9,0,2500,2,190,95,0,0,1,42,2500,2,162,97,0,0,1,0,0,0,354,0,0,3,0
28,27,Archane Hunter,45,935,1,2480,5208,0,3537,1038,2018,69,45,61,2,1,3,44,35,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4000,8,1800,9,9,193,2500,2,190,95,0,0,1,130,2500,2,162,97,0,0,1,0,0,0,354,0,0,3,0
29,28,Archane Fighter,45,935,1,2480,5208,0,3537,1038,2018,69,45,61,2,1,3,44,35,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4000,8,1800,9,9,0,2500,2,190,95,0,0,1,42,2500,2,162,97,0,0,1,0,0,0,354,0,0,3,0
30,29,Small Spotted Leopard,45,935,1,2480,5208,0,3537,1038,2018,69,45,61,3,2,4,44,35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,6,1800,9,9,0,2500,2,190,95,0,0,1,49,2500,2,162,97,0,0,1,0,0,0,354,0,0,3,0
31,30,Large Spotted Leopard,45,935,1,2480,5208,0,3537,1038,2018,69,45,61,3,2,4,44,35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,6,1800,9,9,0,2500,2,190,95,0,0,1,49,2500,2,162,97,0,0,1,0,0,0,354,0,0,3,0
32,31,Blade Whip Nepenthes,46,968,1,2580,5418,0,3654,1062,2085,70,46,61,1,2,3,44,35,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4000,6,1800,9,9,0,2500,3,197,99,0,0,1,42,2500,3,166,99,0,0,1,0,0,0,365,0,0,3,0
33,32,Vagabond Lander,46,968,1,2580,5418,0,3654,1062,2085,70,46,61,3,3,3,44,35,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4000,6,1800,9,9,0,2500,4,197,99,0,0,1,29,2500,4,166,99,0,0,1,25,0,0,365,0,0,3,3
34,33,Basefarm Dead Woman,46,968,1,2580,5418,0,3654,1062,2085,70,46,61,2,1,0,44,35,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,6,1800,9,9,0,2500,1,197,99,0,0,1,79,2500,1,166,99,0,0,1,0,0,0,365,0,0,3,0
35,34,Basefarm Rotten Corpse,46,968,1,2580,5418,0,3654,1062,2085,70,46,61,2,1,0,44,35,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,6,1800,9,9,0,2500,1,197,99,0,0,1,103,2500,1,166,99,0,0,1,20,0,0,365,0,0,3,3
36,35,Poisoned Teeth Attackwolf,47,1001,1,2680,5628,0,3773,1086,2154,72,46,63,4,2,4,46,36,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,6,1800,9,9,0,2500,2,197,99,0,0,1,37,2500,2,168,100,0,0,1,0,0,0,377,0,0,3,0
37,36,Bloodsucking Viper,47,1001,1,2680,5628,0,3773,1086,2154,72,46,63,3,2,0,46,36,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4000,6,1800,9,9,0,2500,4,197,99,0,0,1,20,2500,4,168,100,0,0,1,0,0,0,377,0,0,3,0
38,37,Skill Test Monster,55,100,0,10,10,0,10000,999,999,150,150,150,2,1,0,300,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,6,1800,9,9,0,2500,0,10,10,0,0,1,255,2500,2,100,10,0,0,1,0,0,0,1,0,0,0,0
39,38,Error Monster38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,39,Error Monster39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,40,Karis Stronghold Lower Cla...,50,0,1,100,100,0,14523,1160,2366,148,159,162,1,1,0,564,418,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,87,178,180,184,181,86,4200,6,1800,10,13,0,2400,2,1835,360,0,6,1,18,2500,2,500,400,0,0,1,0,200,0,14000,0,1,0,0
42,41,Karis Stronghold High Clas...,52,0,1,100,100,0,14801,1210,2514,155,163,169,1,1,0,576,429,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,87,178,180,184,181,86,4200,6,1800,10,13,51,2200,24,1865,405,0,6,1,121,2500,0,550,450,0,0,1,123,200,0,14000,0,1,0,3
43,42,Raigo Stronghold Lower Cla...,50,0,1,100,100,0,14523,1160,2366,148,159,162,1,1,0,564,418,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,87,178,180,184,181,86,4200,6,1800,10,13,0,2200,2,1835,360,0,6,1,0,2500,0,500,400,0,0,0,0,200,0,14000,0,2,0,0
44,43,Raigo Stronghold High Clas...,52,0,1,100,100,0,14801,1210,2514,155,163,169,1,1,0,576,429,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,87,178,180,184,181,86,4200,6,1800,10,13,80,2200,24,1865,405,0,6,1,122,2500,0,550,450,0,0,1,85,200,0,14000,0,2,0,3
45,44,Karis Stronghold Royal Guard,60,0,1,100,100,0,25984,1420,3148,177,187,193,1,1,0,648,473,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,87,178,180,184,181,86,4200,6,1800,10,13,0,2200,2,1982,450,0,6,1,0,2500,0,650,500,0,0,0,0,200,0,25000,0,1,0,0
46,45,Raigo Stronghold Berserker,60,0,1,100,100,0,25984,1420,3148,177,187,193,1,1,0,648,473,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,87,178,180,184,181,86,4200,6,1800,10,13,0,2200,2,1982,450,0,6,1,0,2500,0,650,500,0,0,0,0,200,0,25000,0,2,0,0
47,46,Error Monster46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,47,Error Monster47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,48,Error Monster48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,49,Error Monster49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,50,Entis Relic,51,0,3,0,0,0,27500,20,20,0,500,50,2,3,0,540,12500,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,87,178,180,184,181,86,0,0,0,0,30,98,0,0,153,84,0,0,1,100,2400,15,0,0,0,0,1,0,2500,0,27000,1,0,3,0
52,51,Remetion Relic,51,0,3,0,0,0,27500,20,20,0,500,50,2,3,0,540,12500,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,87,178,180,184,181,86,0,0,0,0,30,98,0,0,153,84,0,0,1,100,2400,15,0,0,0,0,1,0,2500,0,27000,1,0,3,0
53,52,Flagrans Relic,51,0,3,0,0,0,27500,20,20,0,500,50,2,3,0,540,12500,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,87,178,180,184,181,86,0,0,0,0,30,98,0,0,153,84,0,0,1,100,2400,15,0,0,0,0,1,0,2500,0,27000,1,0,3,0
54,53,Heres Relic,51,0,3,0,0,0,27500,20,20,0,500,50,2,3,0,540,12500,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,87,178,180,184,181,86,0,0,0,0,30,98,0,0,153,84,0,0,1,100,2400,15,0,0,0,0,1,0,2500,0,27000,1,0,3,0
55,54,Lucifera Relic,51,0,3,0,0,0,27500,20,20,0,500,50,2,3,0,540,12500,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,87,178,180,184,181,86,0,0,0,0,30,98,0,0,153,84,0,0,1,100,2400,15,0,0,0,0,1,0,2500,0,27000,1,0,3,0
56,55,Inferus Relic,51,0,3,0,0,0,27500,20,20,0,500,50,2,3,0,540,12500,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,87,178,180,184,181,86,0,0,0,0,30,98,0,0,153,84,0,0,1,100,2400,15,0,0,0,0,1,0,2500,0,27000,1,0,3,0
57,56,Error Monster56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,57,Error Monster57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,58,Error Monster58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,59,Error Monster59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,60,Cuty pig Don't Hurt me,15,0,0,0,0,0,937,404,530,36,19,28,1,1,0,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,6,1800,6,9,0,3000,1,76,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0
62,61,Cuty pig Don't Hurt me,25,0,0,0,0,0,1718,596,909,54,24,40,1,1,0,30,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,6,1800,6,9,0,3000,1,112,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0
63,62,Cuty pig Don't Hurt me,35,0,0,0,0,0,2694,807,1407,72,27,50,1,1,0,37,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,6,1800,6,9,0,3000,1,153,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,0,0,0,0
64,63,Medius Ides,52,0,3,0,0,0,110000,20,20,0,500,61,2,3,0,572,12500,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,87,178,180,184,181,86,0,0,0,0,30,98,0,0,190,95,0,0,1,100,2400,15,200,100,0,0,1,0,2500,0,3650,1,1,3,0
65,64,Medius Altar,52,0,3,0,0,0,110000,20,20,0,500,61,2,3,0,572,12500,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,87,178,180,184,181,86,0,0,0,0,30,98,0,0,190,95,0,0,1,100,2400,15,200,100,0,0,1,0,2500,0,3650,1,2,3,0
66,65,Ides Guardian Soldier,56,0,3,0,0,0,15146,200,200,165,176,180,1,1,0,456,281,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,87,178,180,184,181,86,4000,8,1800,9,12,0,2400,1,924,77,0,0,1,18,2500,1,80,45,0,0,1,97,45,0,850,0,1,3,1
67,66,Altar Guardian Soldier,56,0,3,0,0,0,15146,200,200,165,176,180,1,1,0,456,281,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,87,178,180,184,181,86,4000,8,1800,9,12,0,2400,1,924,77,0,0,1,18,2500,1,80,45,0,0,1,97,45,0,850,0,2,3,1
68,67,Medius Relic,52,0,3,0,0,0,27500,20,20,0,500,56,2,3,0,540,12500,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,87,178,180,184,181,86,0,0,0,0,30,98,0,0,173,86,0,0,1,100,2400,15,200,100,0,0,1,0,2500,0,2750,1,0,3,0
69,68,Relic Guardian Soldier,56,0,1,0,0,0,15146,200,200,165,176,180,1,1,1,456,281,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,87,178,180,184,181,86,4000,8,1800,9,12,0,2400,1,924,77,0,0,1,0,2500,0,0,0,0,0,0,0,45,0,850,0,0,3,0
70,69,Flame Idespole,50,220,3,1200,2520,0,15112,630,285,100,125,44,2,1,1,580,5000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,87,178,180,184,181,86,0,0,0,0,35,196,0,0,136,68,0,0,1,0,2400,0,0,0,0,0,0,0,500,0,1008,0,1,3,0
71,70,Aqua Idespole,50,220,3,1200,2520,0,15112,630,285,100,125,44,2,1,2,580,5000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,87,178,180,184,181,86,0,0,0,0,35,188,0,0,136,68,0,0,1,0,2400,0,0,0,0,0,0,0,500,0,1008,0,1,3,0
72,71,Gaia Idespole,50,220,3,1200,2520,0,15112,630,285,100,125,44,2,1,3,580,5000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,87,178,180,184,181,86,0,0,0,0,35,197,0,0,136,68,0,0,1,0,2400,0,0,0,0,0,0,0,500,0,1008,0,1,3,0
73,72,Breeze Idespole,50,220,3,1200,2520,0,15112,630,285,100,125,44,2,1,4,580,5000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,87,178,180,184,181,86,0,0,0,0,35,195,0,0,136,68,0,0,1,0,2400,0,0,0,0,0,0,0,500,0,1008,0,1,3,0
74,73,Flame Altarpole,50,220,3,1200,2520,0,15112,630,285,100,125,44,2,1,1,725,5000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,87,178,180,184,181,86,0,0,0,0,35,196,0,0,136,68,0,0,1,0,2400,0,0,0,0,0,0,0,500,0,1008,0,2,3,0
75,74,Aqua Altarpole,50,220,3,1200,2520,0,15112,630,285,100,125,44,2,1,2,725,5000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,87,178,180,184,181,86,0,0,0,0,35,198,0,0,136,68,0,0,1,0,2400,0,0,0,0,0,0,0,500,0,1008,0,2,3,0
76,75,Gaia Altarpole,50,220,3,1200,2520,0,15112,630,285,100,125,44,2,1,3,725,5000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,87,178,180,184,181,86,0,0,0,0,35,197,0,0,136,68,0,0,1,0,2400,0,0,0,0,0,0,0,500,0,1008,0,2,3,0
77,76,Breeze Altarpole,50,220,3,1200,2520,0,15112,630,285,100,125,44,2,1,4,725,5000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,87,178,180,184,181,86,0,0,0,0,35,195,0,0,136,68,0,0,1,0,2400,0,0,0,0,0,0,0,500,0,1008,0,2,3,0
78,77,Flame Relicpole,50,220,3,1200,2520,0,15112,630,285,100,125,44,2,1,1,580,5000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,87,178,180,184,181,86,0,0,0,0,35,196,0,0,136,68,0,0,1,0,2400,0,0,0,0,0,0,0,500,0,1008,0,0,3,0
79,78,Aqua Relicpole,50,220,3,1200,2520,0,15112,630,285,100,125,44,2,1,2,580,5000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,87,178,180,184,181,86,0,0,0,0,35,188,0,0,136,68,0,0,1,0,2400,0,0,0,0,0,0,0,500,0,1008,0,0,3,0
80,79,Gaia Relicpole,50,220,3,1200,2520,0,15112,630,285,100,125,44,2,1,3,580,5000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,87,178,180,184,181,86,0,0,0,0,35,197,0,0,136,68,0,0,1,0,2400,0,0,0,0,0,0,0,500,0,1008,0,0,3,0
81,80,Breeze Relicpole,50,220,3,1200,2520,0,15112,630,285,100,125,44,2,1,4,580,5000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,87,178,180,184,181,86,0,0,0,0,35,195,0,0,136,68,0,0,1,0,2400,0,0,0,0,0,0,0,500,0,1008,0,0,3,0
82,81,Waste Land Wolf,38,704,1,1820,3822,0,2765,874,1578,60,40,53,3,1,4,38,31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,8,1800,9,9,0,2500,2,167,83,0,0,1,37,2500,2,142,85,0,0,1,0,0,0,277,0,0,3,0
83,82,Bolderland Witch,39,737,1,1910,4011,0,2870,897,1638,61,40,54,2,1,2,40,33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,8,1800,9,9,0,2500,1,167,83,0,0,1,67,2500,1,146,87,0,0,1,70,0,0,287,0,0,3,1
84,83,Waste Land Archane,40,770,1,2000,4200,0,2977,920,1698,62,42,56,2,1,3,40,33,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4000,8,1800,9,9,0,2500,2,173,86,0,0,1,42,2500,2,148,88,0,0,1,0,0,0,298,0,0,3,0
85,84,Bolderland Roca,41,803,1,2090,4389,0,3086,943,1760,64,43,57,1,1,0,41,34,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,8,1800,9,9,0,2500,2,173,86,0,0,1,109,2500,2,148,88,0,0,1,0,0,0,309,0,0,3,0
